id,name,serving_size,calories,total_fat,protein,carbohydrate
3349,"MURRAY, Fudge Dipped Grahams, SUGAR FREE",100 g,483,28g,5.70 g,63.30 g
3350,"Frostings, ready-to-eat, creamy, vanilla",100 g,418,16g,0.00 g,67.89 g
3351,"KASHI, Frozen Entree, Chicken Florentine",100 g,106,3.4g,7.90 g,11.00 g
3352,"Cookies, commercially prepared, brownies",100 g,405,16g,4.80 g,63.90 g
3353,"Mushrooms, drained solids, canned, straw",100 g,32,0.7g,3.83 g,4.64 g
3354,"SUNSHINE, Hot & Spicy Crackers, CHEEZ-IT",100 g,513,26g,8.30 g,61.20 g
3355,"Mollusks, raw, mixed species, cuttlefish",100 g,79,0.7g,16.24 g,0.82 g
3356,"Olives, canned (small-extra large), ripe",100 g,115,11g,0.84 g,6.26 g
3357,"Babyfood, strained, apple yogurt dessert",100 g,96,1.6g,0.80 g,19.50 g
3358,"Apples, with skin, golden delicious, raw",100 g,57,0.2g,0.28 g,13.60 g
3359,"Pie, prepared from recipe, vanilla cream",100 g,278,14g,4.80 g,32.60 g
3360,"Lamb, raw, kidney, imported, New Zealand",100 g,84,2.5g,15.21 g,0.03 g
3361,"Okra, with salt, drained, boiled, cooked",100 g,22,0.2g,1.87 g,4.51 g
3362,"KASHI, Original, H2H Woven Wheat Cracker",100 g,396,12g,10.60 g,73.40 g
3363,"Bread stuffing, prepared, dry mix, bread",100 g,195,12g,2.73 g,18.84 g
3364,"Crackers, low-sodium, fat-free, saltines",100 g,393,1.6g,10.50 g,82.30 g
3365,"Cereals ready-to-eat, Waffle Crisp, Post",100 g,390,5g,6.60 g,83.00 g
3366,"Gravy, slow roast, beef, FRANCO-AMERICAN",100 g,42,0.9g,1.69 g,5.08 g
3367,"Gravy, microwavable, chicken, CAMPBELL'S",100 g,67,5g,0.00 g,5.00 g
3368,"Passion-fruit, raw, purple, (granadilla)",100 g,97,0.7g,2.20 g,23.38 g
3369,"Babyfood, dry fortified, oatmeal, cereal",100 g,394,6.4g,10.99 g,73.47 g
3370,"Cereals ready-to-eat, KIX, GENERAL MILLS",100 g,357,3.5g,7.69 g,82.82 g
3371,"Sea lion, heart (Alaska Native), Steller",100 g,102,3.3g,17.00 g,1.00 g
3372,"Sea lion, liver (Alaska Native), Steller",100 g,137,5g,22.90 g,0.00 g
3373,"KELLOGG'S, Multigrain Crackers, ALL-BRAN",100 g,415,20g,8.60 g,65.70 g
3374,"Beef, cooked, separable fat, retail cuts",100 g,680,70g,10.65 g,0.00 g
3375,"Tomato juice, without salt added, canned",100 g,17,0.3g,0.85 g,3.53 g
3376,"Cereals ready-to-eat, RALSTON CRISP RICE",100 g,394,1.3g,6.69 g,86.22 g
3377,"Fast foods, with beans and beef, burrito",100 g,191,7.5g,11.52 g,19.52 g
3378,"Corn flour, unenriched, degermed, yellow",100 g,375,1.4g,5.59 g,82.75 g
3379,"Alcoholic beverage, canned, whiskey sour",100 g,119,0g,0.00 g,13.40 g
3380,"Peanuts, with salt, oil-roasted, spanish",100 g,579,49g,28.01 g,17.45 g
3381,"Beverages, canned, Clam and tomato juice",100 g,48,0.2g,0.60 g,10.95 g
3382,"Beans, raw, sprouted, mature seeds, navy",100 g,67,0.7g,6.15 g,13.05 g
3383,"Babyfood, strained, chicken soup, dinner",100 g,50,1.7g,1.60 g,7.20 g
3384,"Oil, linoleic (less than 60%), sunflower",100 g,884,100g,0.00 g,0.00 g
3385,"Restaurant, sweet and sour pork, Chinese",100 g,270,16g,8.91 g,23.34 g
3386,"Beverages, with chicory, instant, coffee",100 g,355,0.2g,9.30 g,78.90 g
3387,"KELLOGG'S, Chocolate Chip, Waffles, EGGO",100 g,291,10g,5.80 g,44.80 g
3388,"Babyfood, strained, banana apple dessert",100 g,68,0.2g,0.30 g,16.30 g
3389,"Restaurant, assorted, egg rolls, Chinese",100 g,250,12g,8.28 g,27.29 g
3390,"Restaurant, beef and vegetables, Chinese",100 g,105,5.3g,7.08 g,7.29 g
3391,"Rice, enriched, raw, medium-grain, white",100 g,360,0.6g,6.61 g,79.34 g
3392,"Rice, Chinese restaurant, steamed, white",100 g,151,0.3g,3.20 g,33.88 g
3393,"PIZZA HUT 12"" Pepperoni Pizza, Pan Crust",100 g,298,14g,11.97 g,30.49 g
3394,"SUNSHINE, Pepper Jack Crackers, CHEEZ-IT",100 g,503,25g,8.80 g,61.90 g
3395,"Cereals ready-to-eat, KASHI Simply Maize",100 g,371,3.4g,7.80 g,83.30 g
3396,"Fish, raw (Alaska Native), meat, lingcod",100 g,79,0.8g,17.90 g,0.00 g
3397,"Soup, condensed, canned, cream of celery",100 g,72,4.5g,1.32 g,7.03 g
3398,"PEPPERIDGE FARM, Seeded Jewish Rye Bread",100 g,256,2.8g,0.01 g,48.40 g
3399,"BURGER KING, with cheese, DOUBLE WHOPPER",100 g,266,17g,14.47 g,13.52 g
3400,"Babyfood, strained, creamed, corn, vegetables",100 g,57,0.4g,1.40 g,14.10 g
3401,"Frankfurter, fat free, and turkey, pork, beef",100 g,109,1.6g,12.50 g,11.21 g
3402,"Cereals, dry, plain, fortified, instant, oats",100 g,362,6.9g,11.92 g,69.52 g
3403,"Celery, without salt, drained, boiled, cooked",100 g,18,0.2g,0.83 g,4.00 g
3404,"Crustaceans, raw, mixed species, spiny lobster",100 g,112,1.5g,20.60 g,2.43 g
3405,"Ice cream bar, covered with chocolate and nuts",100 g,303,26g,5.62 g,11.89 g
3406,"MURRAY, Iced Oatmeal Cookies, SOUTHERN KITCHEN",100 g,467,18g,6.50 g,69.50 g
3407,"Restaurant, spaghetti with meat sauce, Italian",100 g,121,3.6g,5.79 g,16.40 g
3408,"Fruit juice smoothie, BLUE MACHINE, NAKED JUICE",100 g,71,0g,0.42 g,16.67 g
3409,"CAMPBELL'S Red and White, condensed, Beef Broth",100 g,12,0g,2.42 g,0.81 g
3410,"Turkey, raw, meat and skin, breast, all classes",100 g,157,7g,21.89 g,0.00 g
3411,"KEEBLER, Bistro Multigrain Crackers, TOWN HOUSE",100 g,460,20g,7.30 g,67.00 g
3412,"Limeade, prepared with water, frozen concentrate",100 g,52,0g,0.00 g,13.79 g
3413,"PIZZA HUT 12"" Pepperoni Pizza, Hand-Tossed Crust",100 g,280,11g,12.86 g,31.55 g
3414,"KASHI, Frozen Entree, Lemongrass Coconut Chicken",100 g,104,2.8g,6.30 g,13.40 g
3415,"Cookies, special dietary, peanut butter sandwich",100 g,535,34g,10.00 g,50.80 g
3416,"PIZZA HUT 14"" Sausage Pizza, THIN 'N CRISPY Crust",100 g,323,17g,13.95 g,28.70 g
3417,"Pineapple, solids and liquids, juice pack, canned",100 g,60,0.1g,0.42 g,15.70 g
3418,"Pineapple, solids and liquids, water pack, canned",100 g,32,0.1g,0.43 g,8.30 g
3419,"KELLOGG'S, Egg & Cheese, Biscuit Scramblers, EGGO",100 g,254,7.6g,8.80 g,38.30 g
3420,"Lambsquarters, with salt, drained, boiled, cooked",100 g,32,0.7g,3.20 g,5.00 g
3421,"SAGE VALLEY, Gluten Free Vanilla Sandwich Cookies",100 g,499,22g,3.13 g,71.88 g
3422,"USDA Commodity, canned, meatless, spaghetti sauce",100 g,48,0.9g,1.20 g,8.70 g
3423,"Rice cake, cracker (include hain mini rice cakes)",100 g,392,4.3g,7.10 g,81.10 g
3424,"USDA Commodity, raw, frozen, patties (100%), beef",100 g,204,16g,14.63 g,0.00 g
3425,"Potatoes, with salt, skin, cooked in skin, boiled",100 g,78,0.1g,2.86 g,17.20 g
3426,"Vitasoy USA, Organic Nasoya Super Firm Cubed Tofu",100 g,118,6.3g,12.40 g,2.80 g
3427,"Snacks, fruit, NUTRI-GRAIN Cereal Bars, KELLOGG'S",100 g,365,8.7g,4.22 g,67.61 g
3428,"McDONALD'S, Premium Grilled Chicken Club Sandwich",100 g,221,8.1g,17.19 g,19.87 g
3429,"Taquitos, oven-heated, chicken and cheese, frozen",100 g,284,13g,9.21 g,33.63 g
3430,"Turkey, roasted, meat only, from whole bird, wing",100 g,147,2.1g,30.13 g,0.00 g
3431,"Snacks, yogurt covered with vitamin C, candy bits",100 g,415,7.5g,0.00 g,86.90 g
3432,"Chicken, back meat only, BBQ, rotisserie, broiler",100 g,212,14g,21.85 g,0.31 g
3433,"KASHI Spinach Artichoke Pasta, unprepared, frozen",100 g,103,3.4g,5.00 g,15.10 g
3434,"Cereals ready-to-eat, LUCKY CHARMS, GENERAL MILLS",100 g,380,5g,7.67 g,80.89 g
3435,"Cookies, baked, refrigerated dough, peanut butter",100 g,503,28g,9.10 g,57.30 g
3436,"Frozen novelties, No Sugar Added CREAMSICLE Pops",100 g,72,0.6g,3.69 g,12.88 g
3437,"Fast foods, and bacon, cheese, with egg, biscuit",100 g,301,17g,12.01 g,24.44 g
3438,"PEPPERIDGE FARM, 100% Whole Wheat Hamburger Buns",100 g,257,3.1g,0.01 g,43.20 g
3439,"WORTHINGTON Low Fat Fri Chik, unprepared, canned",100 g,102,2.7g,14.30 g,4.90 g
3440,"WORTHINGTON FriChik Original, unprepared, canned",100 g,160,10g,13.40 g,3.40 g
3441,"Vitasoy USA Organic Nasoya, Tofu Plus Extra Firm",100 g,92,4.9g,10.18 g,1.82 g
3442,"Veal, raw, thymus, variety meats and by-products",100 g,101,3.1g,17.21 g,0.00 g
3443,"Veal, raw, spleen, variety meats and by-products",100 g,98,2.2g,18.30 g,0.00 g
3444,"Lamb, raw, spleen, variety meats and by-products",100 g,101,3.1g,17.20 g,0.00 g
3445,"Ice creams, chocolate, low carbohydrate, regular",100 g,237,13g,3.80 g,26.80 g
3446,"Crackers, saltines (includes oyster, soda, soup)",100 g,418,8.6g,9.46 g,74.05 g
3447,"Crackers, sandwich-type with cheese filling, rye",100 g,481,22g,9.20 g,60.80 g
3448,"Restaurant, bunuelos (fried yeast bread), Latino",100 g,462,26g,8.02 g,48.57 g
3449,"Beets, solids and liquids, no salt added, canned",100 g,28,0.1g,0.80 g,6.57 g
3450,"SUNSHINE, Italian Four Cheese Crackers, CHEEZ-IT",100 g,500,25g,8.40 g,62.40 g
3451,"Crustaceans, moist heat, cooked, dungeness, crab",100 g,110,1.2g,22.32 g,0.95 g
3452,"Fish, dry heat, cooked, mixed species, whitefish",100 g,172,7.5g,24.47 g,0.00 g
3453,"Babyfood, strained, garden vegetable, vegetables",100 g,32,0.2g,2.30 g,6.80 g
3454,"KEEBLER, Party Pack Cracker Assortment, TOASTEDS",100 g,483,23g,6.50 g,64.40 g
3455,"Margarine, soybean (hydrogenated), hard, regular",100 g,719,81g,0.90 g,0.90 g
3456,"Crackers, low salt, regular, standard snack-type",100 g,502,25g,7.40 g,61.00 g
3457,"Apricot nectar, with added ascorbic acid, canned",100 g,56,0.1g,0.37 g,14.39 g
3458,"HEALTHY REQUEST, condensed, Cream of Celery Soup",100 g,56,1.6g,0.81 g,9.68 g
3459,"Frozen novelties, FUDGSICLE pops, No Sugar Added",100 g,124,1.9g,3.67 g,23.11 g
3460,"Beverages, EVIAN, non-carbonated, bottled, water",100 g,0,0g,0.00 g,0.00 g
3461,"Mountain yam, with salt, steamed, cooked, hawaii",100 g,82,0.1g,1.73 g,19.99 g
3462,"Lentils, with salt, stir-fried, cooked, sprouted",100 g,101,0.5g,8.80 g,21.25 g
3463,"KEEBLER, Toast & Peanut Butter Sandwich Crackers",100 g,489,24g,10.60 g,60.20 g
3464,"Snacks, baked, restructured, white, potato chips",100 g,469,18g,5.00 g,71.40 g
3465,"Alcoholic beverage, 86 proof, whiskey, distilled",100 g,250,0g,0.00 g,0.10 g
3466,"Lentils, with salt, boiled, cooked, mature seeds",100 g,114,0.4g,9.02 g,19.54 g
3467,CAMPBELL'S Homestyle Potato Broccoli Cheese Soup,100 g,65,3.7g,1.22 g,6.94 g
3468,"Cookies, regular, commercially prepared, oatmeal",100 g,450,18g,6.20 g,68.70 g
3469,"Fast foods, and ham, cheese, with egg, croissant",100 g,261,15g,12.45 g,18.98 g
3470,"Cereals, dry, plain, instant, corn grits, QUAKER",100 g,343,2.1g,7.31 g,78.42 g
3471,Soy sauce made from hydrolyzed vegetable protein,100 g,60,0.5g,7.00 g,7.84 g
3472,"Alcoholic Beverage, Pinot Noir, red, table, wine",100 g,82,0g,0.07 g,2.31 g
3473,"Groundcherries, raw, (cape-gooseberries or poha)",100 g,53,0.7g,1.90 g,11.20 g
3474,"Rolls, wheat/cracked wheat, hamburger or hot dog",100 g,269,3.6g,11.69 g,47.31 g
3475,"DENNY'S, fried, battered or breaded, fish fillet",100 g,234,12g,13.75 g,17.41 g
3476,"Alcoholic beverage, Riesling, white, table, wine",100 g,80,0g,0.07 g,3.74 g
3477,"Pizza, cooked, frozen, thick crust, meat topping",100 g,274,12g,11.76 g,30.76 g
3478,"Soup, condensed, canned, manhattan, clam chowder",100 g,61,1.8g,1.74 g,9.74 g
3479,"MURRAY, Lemon Creme Sandwich Cookies, SUGAR FREE",100 g,469,24g,4.90 g,68.30 g
3480,"Cereals ready-to-eat, KELLOGG'S MUESLIX, KELLOGG",100 g,355,5.4g,8.60 g,74.90 g
3481,"Cornmeal, enriched, degermed, self-rising, white",100 g,355,1.7g,8.41 g,74.79 g
3482,"Babyfood, junior, applesauce and cherries, fruit",100 g,51,0g,0.00 g,14.10 g
3483,"Babyfood, junior, applesauce and apricots, fruit",100 g,47,0.2g,0.20 g,12.40 g
3484,"Cookies, enriched, commercially prepared, butter",100 g,467,19g,6.10 g,68.90 g
3485,"SPAGHETTIOS, SpaghettiOs A to Z's with Meatballs",100 g,95,2.8g,4.37 g,12.70 g
3486,"Soup, condensed, canned, tomato beef with noodle",100 g,112,3.4g,3.55 g,16.87 g
3487,"Escarole, no salt added, drained, boiled, cooked",100 g,19,0.2g,1.15 g,3.07 g
3488,"Babyfood, strained, creamed, spinach, vegetables",100 g,37,1.3g,2.50 g,5.70 g
3489,"CAMPBELL'S CHUNKY Soups, Hearty Beef Barley Soup",100 g,56,0.9g,2.89 g,8.98 g
3490,"Fruit juice smoothie, GREEN MACHINE, NAKED JUICE",100 g,53,0.3g,0.60 g,12.53 g
3491,"Crustaceans, home recipe, crab cakes, blue, crab",100 g,155,7.5g,20.21 g,0.48 g
3492,"Beef, raw, thymus, variety meats and by-products",100 g,236,20g,12.18 g,0.00 g
3493,"Beef, raw, spleen, variety meats and by-products",100 g,105,3g,18.30 g,0.00 g
3494,"Beef, raw, tongue, variety meats and by-products",100 g,224,16g,14.90 g,3.68 g
3495,"Lettuce, raw, iceberg (includes crisphead types)",100 g,14,0.1g,0.90 g,2.97 g
3496,"MURRAY, Chocolate Chip Cookies, SOUTHERN KITCHEN",100 g,493,24g,5.50 g,66.50 g
3497,"Fish, drained solids, canned in oil, white, tuna",100 g,186,8.1g,26.53 g,0.00 g
3498,"Okra, with salt, drained, boiled, cooked, frozen",100 g,34,0.2g,1.63 g,6.41 g
3499,"CAMPBELL'S Red and White, condensed, Lentil Soup",100 g,111,0.8g,6.35 g,19.05 g
3500,"Duck, meat (Alaska Native), white-winged, scoter",100 g,84,0.4g,20.20 g,0.00 g
3501,"Fish, raw (Alaska Native), coho (silver), salmon",100 g,140,5.6g,22.56 g,0.00 g
3502,"Crackers, LA MODERNA RIKIS CREAM CRACKERS, cream",100 g,464,20g,7.19 g,64.88 g
3503,"Beans, raw, mature seeds, california red, kidney",100 g,330,0.3g,24.37 g,59.80 g
3504,"Cereals ready-to-eat, Honey BUZZERS, MALT-O-MEAL",100 g,379,1.7g,3.45 g,89.66 g
3505,"Milk, with added vitamin D, 3.25% milkfat, whole",100 g,61,3.3g,3.15 g,4.80 g
3506,"Cereals ready-to-eat, KASHI 7 Whole Grain Flakes",100 g,337,1.5g,11.00 g,81.40 g
3507,"Butterbur, without salt, drained, boiled, cooked",100 g,8,0g,0.23 g,2.16 g
3508,"Burdock root, with salt, drained, boiled, cooked",100 g,88,0.1g,2.09 g,21.15 g
3509,"Beans, with pork and tomato sauce, canned, baked",100 g,94,0.9g,5.15 g,18.69 g
3510,"Cereals ready-to-eat, QUAKER Puffed Rice, QUAKER",100 g,383,0.9g,7.01 g,87.78 g
3511,"Chard, with salt, drained, boiled, cooked, swiss",100 g,20,0.1g,1.88 g,4.13 g
3512,"Crustaceans, raw (not previously frozen), shrimp",100 g,85,0.5g,20.10 g,0.00 g
3513,"MORNINGSTAR FARMS Veggie Dog, unprepared, frozen",100 g,126,1.3g,17.40 g,11.20 g
3514,"Cookies, lowfat, plain or honey, graham crackers",100 g,386,5.7g,5.71 g,77.96 g
3515,"Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal",100 g,376,4.1g,8.60 g,84.00 g
3516,"Beverages, Orchard Blend, V8 SPLASH Juice Drinks",100 g,33,0g,0.00 g,7.82 g
3517,"Biscuits, prepared, dry mix, plain or buttermilk",100 g,335,12g,7.30 g,48.40 g
3518,"WORTHINGTON Vegetable Steaks, unprepared, canned",100 g,113,1.2g,20.70 g,5.10 g
3519,"Fish, dry heat, cooked, farmed, Atlantic, salmon",100 g,206,12g,22.10 g,0.00 g
3520,"Fish, dry heat, cooked, farmed, channel, catfish",100 g,144,7.2g,18.44 g,0.00 g
3521,"Babyfood, strained, vegetables and bacon, dinner",100 g,69,3g,1.92 g,8.81 g
3522,KRAFT VELVEETA Pasteurized Process Cheese Spread,100 g,303,22g,16.30 g,9.80 g
3523,"Beans, unprepared, frozen, immature seeds, pinto",100 g,170,0.5g,9.80 g,32.50 g
3524,"Cereals, dry, 1 minute cook time, CREAM OF WHEAT",100 g,359,1.5g,11.77 g,72.63 g
3525,"Veal, raw, tongue, variety meats and by-products",100 g,131,5.5g,17.18 g,1.91 g
3526,"Lamb, raw, tongue, variety meats and by-products",100 g,222,17g,15.70 g,0.00 g
3527,"Chicken, raw, meat only, leg, broilers or fryers",100 g,120,4.2g,19.16 g,0.00 g
3528,"Sweeteners, SPLENDA packets, sucralose, tabletop",100 g,336,0g,0.00 g,91.17 g
3529,"Babyfood, junior, vegetables and chicken, dinner",100 g,53,1.1g,2.04 g,8.66 g
3530,"Pork sausage, unheated, fully cooked, link/patty",100 g,392,37g,13.46 g,0.69 g
3531,"Cereals ready-to-eat, KELLOGG'S CRISPIX, KELLOGG",100 g,378,0.8g,6.59 g,87.19 g
3532,"Beverages, sweetened, ready-to-drink, green, tea",100 g,27,0.2g,0.00 g,6.20 g
3533,"Chicken, barbecue flavored, glazed, frozen, wing",100 g,211,13g,19.67 g,3.34 g
3534,"PIZZA HUT 12"" Cheese Pizza, THIN 'N CRISPY Crust",100 g,303,14g,15.29 g,28.64 g
3535,"Soup, chunk style, low sodium, beef and mushroom",100 g,69,2.3g,4.30 g,9.58 g
3536,"Arrowhead, without salt, drained, boiled, cooked",100 g,78,0.1g,4.49 g,16.14 g
3537,"Peppers, unprepared, chopped, frozen, red, sweet",100 g,20,0.2g,1.08 g,4.45 g
3538,"Sweet potato, drained solids, syrup pack, canned",100 g,108,0.3g,1.28 g,25.36 g
3539,"Fish, dry (Alaska Native), Pacific, herring eggs",100 g,312,6.6g,60.40 g,2.80 g
3540,"Macaroni and cheese loaf, pork and beef, chicken",100 g,228,15g,11.76 g,11.63 g
3541,"Beverages, frozen concentrate, Fruit punch drink",100 g,162,0g,0.20 g,41.40 g
3542,"Cereals ready-to-eat, COCOA PUFFS, GENERAL MILLS",100 g,383,5.2g,5.60 g,83.70 g
3543,"Cereals ready-to-eat, plain, toasted, wheat germ",100 g,382,11g,29.10 g,49.60 g
3544,"Soup, ready-to-serve, chunky, canned, minestrone",100 g,53,1.2g,2.13 g,8.64 g
3545,"Fish, with skin (Alaska Native), cooked, halibut",100 g,113,2.7g,22.13 g,0.00 g
3546,"Steelhead trout, flesh (Shoshone Bannock), dried",100 g,382,8.1g,77.27 g,0.00 g
3547,"Fish, raw (Alaska Native), sockeye (red), salmon",100 g,153,7.3g,21.94 g,0.00 g
3548,"USDA Commodity, cooked, frozen, turkey taco meat",100 g,148,7.6g,16.80 g,3.03 g
3549,"Pasta, as purchased, spinach, fresh-refrigerated",100 g,289,2.1g,11.26 g,55.72 g
3550,"Sauce, ready-to-serve, spaghetti/marinara, pasta",100 g,50,1.6g,1.39 g,7.43 g
3551,"SWANSON BROTH, Certified Organic Vegetable Broth",100 g,5,0g,0.00 g,1.28 g
3552,"PIZZA HUT 14"" Pepperoni Pizza, Hand-Tossed Crust",100 g,291,13g,12.23 g,32.11 g
3553,"Alcoholic beverage, Semillon, white, table, wine",100 g,82,0g,0.07 g,3.12 g
3554,"KELLOGG'S, Honey Oat, Waffles, NUTRI-GRAIN, EGGO",100 g,268,8.6g,6.60 g,44.10 g
3555,"KELLOGG'S, Blueberry, Waffles, NUTRI-GRAIN, EGGO",100 g,257,7.8g,6.20 g,43.60 g
3556,"Cereals, dry, Whole Wheat Natural Cereal, QUAKER",100 g,333,2g,11.80 g,74.80 g
3557,"OLIVE GARDEN, cheese ravioli with marinara sauce",100 g,159,5.6g,7.44 g,19.64 g
3558,"Alcoholic Beverage, Sangiovese, red, table, wine",100 g,86,0g,0.07 g,2.62 g
3559,McDONALD'S Bacon Ranch Salad with Crispy Chicken,100 g,122,6.3g,8.82 g,6.08 g
3560,"Coffeecake, dry mix, cinnamon with crumb topping",100 g,436,12g,4.80 g,77.70 g
3561,"Coffeecake, creme-filled with chocolate frosting",100 g,331,11g,5.00 g,53.80 g
3562,"Prickly pears, broiled (Northern Plains Indians)",100 g,91,0.3g,0.39 g,21.57 g
3563,"Veal, roasted, cooked, separable lean only, loin",100 g,175,6.9g,26.32 g,0.00 g
3564,"Veal, braised, cooked, separable lean only, loin",100 g,226,9.2g,33.57 g,0.00 g
3565,"Rutabagas, without salt, drained, boiled, cooked",100 g,30,0.2g,0.93 g,6.84 g
3566,"Lambsquarters, steamed (Northern Plains Indians)",100 g,48,0.2g,4.06 g,7.47 g
3567,"Mollusks, moist heat, cooked, unspecified, whelk",100 g,275,0.8g,47.68 g,15.52 g
3568,"Veal, raw, separable lean and fat, arm, shoulder",100 g,132,5.4g,19.34 g,0.00 g
3569,"Fruit juice smoothie, strawberry banana, ODWALLA",100 g,48,0.3g,0.50 g,11.05 g
3570,"Turkey, roasted, cooked, light meat, all classes",100 g,147,2.1g,30.13 g,0.00 g
3571,"DOMINO'S 14"" Pepperoni Pizza, Crunchy Thin Crust",100 g,328,19g,13.88 g,25.35 g
3572,"SUNSHINE, Soup & Oyster Crackers (large), KRISPY",100 g,416,9.3g,8.60 g,76.10 g
3573,"Lamb, raw, seam fat, fresh, imported, Australian",100 g,459,44g,15.65 g,0.00 g
3574,"KELLOGG'S, Original, French Toaster Sticks, EGGO",100 g,239,7g,5.30 g,39.40 g
3575,"Pears, with added sugar, stewed, sulfured, dried",100 g,140,0.3g,0.86 g,37.14 g
3576,"Pear nectar, without added ascorbic acid, canned",100 g,60,0g,0.11 g,15.76 g
3577,"KASHI, Frozen Entree, Sesame Chicken, STEAM MEAL",100 g,110,3.5g,6.10 g,15.70 g
3578,"KELLOGG'S, Cinnamon, French Toaster Sticks, EGGO",100 g,250,6.9g,4.80 g,42.60 g
3579,"Pork sausage rice links, cooked, brown and serve",100 g,407,38g,13.70 g,2.36 g
3580,"Kale, with salt, drained, boiled, cooked, frozen",100 g,30,0.5g,2.84 g,5.23 g
3581,"Kale, with salt, drained, boiled, cooked, scotch",100 g,28,0.4g,1.90 g,5.62 g
3582,"Snacks, without peanuts, caramel-coated, popcorn",100 g,431,13g,3.80 g,79.10 g
3583,"Orange juice, includes from concentrate, chilled",100 g,49,0.1g,0.68 g,11.54 g
3584,"McDONALD'S, Premium Crispy Chicken Club Sandwich",100 g,250,12g,15.38 g,22.61 g
3585,"Seeds, dried (decorticated), sesame seed kernels",100 g,631,61g,20.45 g,11.73 g
3586,"Salad dressing, reduced calorie, french dressing",100 g,227,13g,0.40 g,27.00 g
3587,"Rice and vermicelli mix, unprepared, beef flavor",100 g,359,1.3g,10.84 g,76.02 g
3588,"Fish, drained solids, canned in oil, light, tuna",100 g,198,8.2g,29.13 g,0.00 g
3589,"PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",100 g,306,13g,13.37 g,34.22 g
3590,"Soup, canned, HEALTHY CHOICE Chicken Noodle Soup",100 g,41,0.6g,3.69 g,5.20 g
3591,"Cereals, dry, quick, white, hominy grits, QUAKER",100 g,348,1.2g,8.80 g,79.60 g
3592,"Babyfood, prepared with whole milk, rice, cereal",100 g,85,3.4g,3.45 g,10.31 g
3593,"Cabbage, with salt, drained, boiled, cooked, red",100 g,29,0.1g,1.51 g,6.94 g
3594,"Cereals ready-to-eat, SWEET CRUNCH/QUISP, QUAKER",100 g,406,6.1g,4.51 g,85.03 g
3595,"Beverages, Strawberry Banana, V8 V-FUSION Juices",100 g,49,0g,0.41 g,11.79 g
3596,"Turkey, raw, meat and skin, breast, retail parts",100 g,155,7.5g,21.88 g,0.00 g
3597,"School Lunch, whole grain breaded, chicken patty",100 g,246,14g,17.64 g,12.50 g
3598,"Sea lion, meat with fat (Alaska Native), Steller",100 g,242,15g,22.10 g,5.55 g
3599,"Fish, dry heat, cooked, mixed species, sea bass",100 g,124,2.6g,23.63 g,0.00 g
3600,"English muffins, mixed-grain (includes granola)",100 g,235,1.8g,9.10 g,46.30 g
3601,"Chicken, roasted, meat only, broilers or fryers",100 g,190,7.4g,28.93 g,0.00 g
3602,"Fish, raw (not previously frozen), Pacific, cod",100 g,72,0.2g,17.54 g,0.00 g
3603,"Broccoli, without salt, drained, boiled, cooked",100 g,35,0.4g,2.38 g,7.18 g
3604,"Turkey, raw, meat only, drumstick, retail parts",100 g,118,4g,20.52 g,0.00 g
3605,"Succotash, unprepared, frozen, (corn and limas)",100 g,93,0.9g,4.31 g,19.94 g
3606,"Beet greens, with salt, drained, boiled, cooked",100 g,27,0.2g,2.57 g,5.46 g
3607,"Fruit juice smoothie, MIGHTY MANGO, NAKED JUICE",100 g,63,0g,0.42 g,15.00 g
3608,"HEINZ, frozen, Chocolate Eclair, WEIGHT WATCHER",100 g,241,6.9g,4.40 g,40.30 g
3609,"Babyfood, strained, vegetables and lamb, dinner",100 g,52,2g,2.00 g,6.90 g
3610,"Cookies, with lemon juice and rind, ladyfingers",100 g,365,9.1g,10.60 g,59.70 g
3611,"Beef, raw, lungs, variety meats and by-products",100 g,92,2.5g,16.20 g,0.00 g
3612,"Cereals, dry, QUAKER MultiGrain Oatmeal, QUAKER",100 g,334,2.7g,12.64 g,72.62 g
3613,"Sauce, reduced sodium, ready-to-serve, teriyaki",100 g,89,0g,5.93 g,15.58 g
3614,"Celeriac, without salt, drained, boiled, cooked",100 g,27,0.2g,0.96 g,5.90 g
3615,"Sausage, reduced sodium, and beef, turkey, pork",100 g,284,27g,10.71 g,0.11 g
3616,"Beverages, bottled, cranberry-apple juice drink",100 g,63,0.1g,0.00 g,15.85 g
3617,"Lupins, with salt, boiled, cooked, mature seeds",100 g,116,2.9g,15.57 g,9.29 g
3618,"Snacks, unsalted, plain, brown rice, rice cakes",100 g,387,2.8g,8.20 g,81.50 g
3619,"Candies, prepared-from-recipe, chocolate, fudge",100 g,411,10g,2.39 g,76.44 g
3620,CAMPBELL'S Homestyle Italian-Style Wedding Soup,100 g,49,1.4g,2.86 g,6.12 g
3621,"Sweeteners, packets, EQUAL, aspartame, tabletop",100 g,365,0g,2.17 g,89.08 g
3622,"Rice, enriched, raw, regular, long-grain, white",100 g,365,0.7g,7.13 g,79.95 g
3623,"Lamb, raw, heart, variety meats and by-products",100 g,122,5.7g,16.47 g,0.21 g
3624,"Veal, raw, heart, variety meats and by-products",100 g,110,4g,17.18 g,0.08 g
3625,"Lamb, raw, liver, variety meats and by-products",100 g,139,5g,20.38 g,1.78 g
